Date,Average
01/21/2014,रू २३.००
01/22/2014,रू २३.००
01/23/2014,रू २३.००
01/24/2014,रू २३.००
01/26/2014,रू २२.००
01/27/2014,रू २२.००
01/28/2014,रू २३.००
01/29/2014,रू २२.००
02/02/2014,रू २१.००
02/03/2014,रू १९.००
02/04/2014,रू २०.००
02/05/2014,रू १७.००
02/06/2014,रू १७.००
02/07/2014,रू १७.००
02/08/2014,रू २३.००
02/09/2014,रू १७.००
02/10/2014,रू १८.००
02/11/2014,रू १८.००
02/12/2014,रू २०.००
02/13/2014,रू १९.००
02/14/2014,रू २०.००
02/16/2014,रू २०.००
02/17/2014,रू २०.००
02/18/2014,रू २०.००
02/20/2014,रू २०.००
02/21/2014,रू २०.००
02/23/2014,रू २०.००
02/24/2014,रू २०.००
02/25/2014,रू २०.००
02/26/2014,रू २१.००
02/28/2014,रू २०.००
03/03/2014,रू २०.००
03/05/2014,रू २२.००
03/06/2014,रू २३.००
03/07/2014,रू २३.००
03/09/2014,रू २२.००
03/10/2014,रू २२.००
03/11/2014,रू २२.००
03/12/2014,रू २२.००
03/13/2014,रू २२.००
03/14/2014,रू २१.००
03/17/2014,रू २३.००
03/18/2014,रू २३.००
03/19/2014,रू २३.००
03/20/2014,रू २४.००
03/21/2014,रू २४.००
03/23/2014,रू २४.००
03/24/2014,रू २३.००
03/25/2014,रू २४.००
03/26/2014,रू २४.००
03/27/2014,रू २३.००
03/28/2014,रू २४.००
03/31/2014,रू २४.००
04/01/2014,रू २४.००
04/02/2014,रू २३.००
04/03/2014,रू २४.००
04/04/2014,रू २४.००
04/06/2014,रू २५.००
04/07/2014,रू २५.००
04/09/2014,रू २७.००
04/10/2014,रू २८.००
04/11/2014,रू २९.००
04/13/2014,रू २७.००
04/15/2014,रू २८.००
04/16/2014,रू २८.००
04/17/2014,रू २८.००
04/18/2014,रू २९.००
04/20/2014,रू २९.००
04/21/2014,रू २८.००
04/22/2014,रू २६.००
04/23/2014,रू २६.००
04/25/2014,रू २६.००
04/27/2014,रू २६.००
04/28/2014,रू २५.००
04/29/2014,रू २५.००
04/30/2014,रू २५.००
05/02/2014,रू २८.००
05/04/2014,रू २८.००
05/05/2014,रू २९.००
05/06/2014,रू २९.००
05/07/2014,रू २९.००
05/08/2014,रू ३०.००
05/09/2014,रू २९.००
05/11/2014,रू २९.००
05/12/2014,रू २९.००
05/13/2014,रू २८.००
05/15/2014,रू २८.००
05/16/2014,रू २८.००
05/18/2014,रू २८.००
05/19/2014,रू २८.००
05/20/2014,रू २८.००
05/21/2014,रू २७.००
05/22/2014,रू २९.००
05/23/2014,रू २८.००
05/25/2014,रू २८.००
05/26/2014,रू २९.००
05/27/2014,रू २९.००
05/28/2014,रू २९.००
05/30/2014,रू ३१.००
06/01/2014,रू ३१.००
06/02/2014,रू ३३.००
06/03/2014,रू ३३.००
06/04/2014,रू ३३.००
06/05/2014,रू ३३.००
06/06/2014,रू ३४.००
06/08/2014,रू ३४.००
06/09/2014,रू ३४.००
06/10/2014,रू ३५.००
06/11/2014,रू ३४.००
06/12/2014,रू ३५.००
06/13/2014,रू ३५.००
06/15/2014,रू ३७.००
06/16/2014,रू ३७.००
06/17/2014,रू ३७.००
06/18/2014,रू ३७.००
06/19/2014,रू ३९.००
06/20/2014,रू ३८.००
06/23/2014,रू ४०.००
06/24/2014,रू ३८.००
06/25/2014,रू ४१.००
06/26/2014,रू ३९.००
06/27/2014,रू ४१.००
06/29/2014,रू ४१.००
06/30/2014,रू ४१.००
07/01/2014,रू ४१.००
07/02/2014,रू ४१.००
07/03/2014,रू ४१.००
07/04/2014,रू ४१.००
07/05/2014,रू ४१.००
07/06/2014,रू ४६.००
07/07/2014,रू ३८.००
07/08/2014,रू ३६.००
07/09/2014,रू ३७.००
07/10/2014,रू ३६.००
07/11/2014,रू ३६.००
07/12/2014,रू ३७.००
07/13/2014,रू ४४.००
07/14/2014,रू ३७.००
07/15/2014,रू ३७.००
07/16/2014,रू ३७.००
07/17/2014,रू ३६.००
07/18/2014,रू ३७.००
07/19/2014,रू ४१.००
07/20/2014,रू ४१.००
07/21/2014,रू ४१.००
07/22/2014,रू ४१.००
07/23/2014,रू ४१.००
07/24/2014,रू ४१.००
07/25/2014,रू ४१.००
07/26/2014,रू ४१.००
07/27/2014,रू ४१.००
07/28/2014,रू ४१.००
07/29/2014,रू ४१.००
07/30/2014,रू ४१.००
07/31/2014,रू ४२.००
08/01/2014,रू ४१.००
08/02/2014,रू ४१.००
08/03/2014,रू ४३.००
08/04/2014,रू ४३.००
08/05/2014,रू ४३.००
08/06/2014,रू ४५.००
08/07/2014,रू ४५.००
08/08/2014,रू ४५.००
08/09/2014,रू ४५.००
08/10/2014,रू ४५.००
08/11/2014,रू ४६.००
08/12/2014,रू ४६.००
08/13/2014,रू ४६.००
08/14/2014,रू ४७.००
08/15/2014,रू ४९.००
08/16/2014,रू ४९.००
08/17/2014,रू ४९.००
08/18/2014,रू ४९.००
08/19/2014,रू ५३.००
08/20/2014,रू ५१.००
08/21/2014,रू ४६.००
08/22/2014,रू ४६.००
08/23/2014,रू ४६.००
08/24/2014,रू ४६.००
08/25/2014,रू ४६.००
08/26/2014,रू ४६.००
08/27/2014,रू ४६.००
08/28/2014,रू ४६.००
08/29/2014,रू ४६.००
08/31/2014,रू ५१.००
09/01/2014,रू ४६.००
09/02/2014,रू ४५.००
09/03/2014,रू ४५.००
09/04/2014,रू ४५.००
09/05/2014,रू ४६.००
09/06/2014,रू ४५.००
09/07/2014,रू ५३.००
09/08/2014,रू ४६.००
09/09/2014,रू ४६.००
09/10/2014,रू ४६.००
09/11/2014,रू ४५.००
09/12/2014,रू ४५.००
09/13/2014,रू ४६.००
09/14/2014,रू ५३.००
09/15/2014,रू ४६.००
09/16/2014,रू ४५.००
09/17/2014,रू ४६.००
09/18/2014,रू ४५.००
09/19/2014,रू ४५.००
09/20/2014,रू ४५.००
09/21/2014,रू ४५.००
09/22/2014,रू ४५.००
09/23/2014,रू ४६.००
09/24/2014,रू ४६.००
09/26/2014,रू ४९.००
09/28/2014,रू ४८.००
09/29/2014,रू ४९.००
09/30/2014,रू ४८.००
10/08/2014,रू ४९.००
10/09/2014,रू ४९.००
10/10/2014,रू ५१.००
10/12/2014,रू ५४.००
10/13/2014,रू ५३.००
10/14/2014,रू ५३.००
10/15/2014,रू ५४.००
10/16/2014,रू ५३.००
10/17/2014,रू ५१.००
10/19/2014,रू ५९.००
10/20/2014,रू ६४.००
10/21/2014,रू ६८.००
10/22/2014,रू ५३.००
10/23/2014,रू ५३.००
10/24/2014,रू ४७.००
10/25/2014,रू ४४.००
10/26/2014,रू ५१.००
10/27/2014,रू ४७.००
10/28/2014,रू ४१.००
10/29/2014,रू ४०.००
